,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
395,2023-11-22,0.9995,0.9995,-0.64,开放申购,开放赎回,
396,2023-11-21,1.0059,1.0059,-0.04,开放申购,开放赎回,
397,2023-11-20,1.0063,1.0063,0.42,开放申购,开放赎回,
398,2023-11-17,1.0021,1.0021,0.19,开放申购,开放赎回,
399,2023-11-16,1.0002,1.0002,-0.64,开放申购,开放赎回,
400,2023-11-15,1.0066,1.0066,0.5,开放申购,开放赎回,
401,2023-11-14,1.0016,1.0016,0.29,开放申购,开放赎回,
402,2023-11-13,0.9987,0.9987,0.25,开放申购,开放赎回,
403,2023-11-10,0.9962,0.9962,-0.42,开放申购,开放赎回,
404,2023-11-09,1.0004,1.0004,0.11,开放申购,开放赎回,
405,2023-11-08,0.9993,0.9993,-0.24,开放申购,开放赎回,
406,2023-11-07,1.0017,1.0017,-0.11,开放申购,开放赎回,
407,2023-11-06,1.0028,1.0028,0.81,开放申购,开放赎回,
408,2023-11-03,0.9947,0.9947,0.7,开放申购,开放赎回,
409,2023-11-02,0.9878,0.9878,-0.32,开放申购,开放赎回,
410,2023-11-01,0.991,0.991,0.14,开放申购,开放赎回,
411,2023-10-31,0.9896,0.9896,-0.09,开放申购,开放赎回,
412,2023-10-30,0.9905,0.9905,0.13,开放申购,开放赎回,
413,2023-10-27,0.9892,0.9892,1.17,开放申购,开放赎回,
414,2023-10-26,0.9778,0.9778,0.4,开放申购,开放赎回,
415,2023-10-25,0.9739,0.9739,0.45,开放申购,开放赎回,
416,2023-10-24,0.9695,0.9695,0.63,开放申购,开放赎回,
417,2023-10-23,0.9634,0.9634,-1.33,开放申购,开放赎回,
418,2023-10-20,0.9764,0.9764,-0.86,开放申购,开放赎回,
419,2023-10-19,0.9849,0.9849,-1.56,开放申购,开放赎回,
420,2023-10-18,1.0005,1.0005,-0.81,开放申购,开放赎回,
421,2023-10-17,1.0087,1.0087,0.14,开放申购,开放赎回,
422,2023-10-16,1.0073,1.0073,-0.43,开放申购,开放赎回,
423,2023-10-13,1.0116,1.0116,-0.42,开放申购,开放赎回,
424,2023-10-12,1.0159,1.0159,0.9,开放申购,开放赎回,
425,2023-10-11,1.0068,1.0068,0.19,开放申购,开放赎回,
426,2023-10-10,1.0049,1.0049,-0.62,开放申购,开放赎回,
427,2023-10-09,1.0112,1.0112,-0.41,开放申购,开放赎回,
428,2023-09-28,1.0154,1.0154,0.24,开放申购,开放赎回,
429,2023-09-27,1.013,1.013,0.04,开放申购,开放赎回,
430,2023-09-26,1.0126,1.0126,-0.47,开放申购,开放赎回,
431,2023-09-25,1.0174,1.0174,-0.51,开放申购,开放赎回,
432,2023-09-22,1.0226,1.0226,1.45,开放申购,开放赎回,
433,2023-09-21,1.008,1.008,-0.72,开放申购,开放赎回,
434,2023-09-20,1.0153,1.0153,-0.4,开放申购,开放赎回,
435,2023-09-19,1.0194,1.0194,-0.03,开放申购,开放赎回,
436,2023-09-18,1.0197,1.0197,0.1,开放申购,开放赎回,
437,2023-09-15,1.0187,1.0187,-0.29,开放申购,开放赎回,
438,2023-09-14,1.0217,1.0217,0.22,开放申购,开放赎回,
439,2023-09-13,1.0195,1.0195,-0.47,开放申购,开放赎回,
440,2023-09-12,1.0243,1.0243,-0.09,开放申购,开放赎回,
441,2023-09-11,1.0252,1.0252,0.74,开放申购,开放赎回,
442,2023-09-08,1.0177,1.0177,-0.11,开放申购,开放赎回,
443,2023-09-07,1.0188,1.0188,-0.94,开放申购,开放赎回,
444,2023-09-06,1.0285,1.0285,0.23,开放申购,开放赎回,
445,2023-09-05,1.0261,1.0261,-0.59,开放申购,开放赎回,
446,2023-09-04,1.0322,1.0322,1.39,开放申购,开放赎回,
447,2023-09-01,1.018,1.018,0.68,开放申购,开放赎回,
448,2023-08-31,1.0111,1.0111,-0.24,开放申购,开放赎回,
449,2023-08-30,1.0135,1.0135,0.12,开放申购,开放赎回,
450,2023-08-29,1.0123,1.0123,0.88,开放申购,开放赎回,
451,2023-08-28,1.0035,1.0035,1.04,开放申购,开放赎回,
452,2023-08-25,0.9932,0.9932,-0.31,开放申购,开放赎回,
453,2023-08-24,0.9963,0.9963,-0.19,开放申购,开放赎回,
454,2023-08-23,0.9982,0.9982,-1.03,开放申购,开放赎回,
455,2023-08-22,1.0086,1.0086,0.56,开放申购,开放赎回,
456,2023-08-21,1.003,1.003,-1.2,开放申购,开放赎回,
457,2023-08-18,1.0152,1.0152,-0.85,开放申购,开放赎回,
458,2023-08-17,1.0239,1.0239,0.32,开放申购,开放赎回,
459,2023-08-16,1.0206,1.0206,-0.58,开放申购,开放赎回,
460,2023-08-15,1.0266,1.0266,0.02,开放申购,开放赎回,
461,2023-08-14,1.0264,1.0264,-0.21,开放申购,开放赎回,
462,2023-08-11,1.0286,1.0286,-1.78,开放申购,开放赎回,
463,2023-08-10,1.0472,1.0472,0.36,开放申购,开放赎回,
464,2023-08-09,1.0434,1.0434,-0.32,开放申购,开放赎回,
465,2023-08-08,1.0468,1.0468,-0.19,开放申购,开放赎回,
466,2023-08-07,1.0488,1.0488,-0.6,开放申购,开放赎回,
467,2023-08-04,1.0551,1.0551,0.12,开放申购,开放赎回,
468,2023-08-03,1.0538,1.0538,0.45,开放申购,开放赎回,
469,2023-08-02,1.0491,1.0491,-0.85,开放申购,开放赎回,
470,2023-08-01,1.0581,1.0581,0.02,开放申购,开放赎回,
471,2023-07-31,1.0579,1.0579,0.34,开放申购,开放赎回,
472,2023-07-28,1.0543,1.0543,1.8,开放申购,开放赎回,
473,2023-07-27,1.0357,1.0357,-0.2,开放申购,开放赎回,
474,2023-07-26,1.0378,1.0378,-0.24,开放申购,开放赎回,
475,2023-07-25,1.0403,1.0403,1.93,开放申购,开放赎回,
476,2023-07-24,1.0206,1.0206,-0.21,开放申购,开放赎回,
477,2023-07-21,1.0227,1.0227,0.04,开放申购,开放赎回,
478,2023-07-20,1.0223,1.0223,-0.62,开放申购,开放赎回,
479,2023-07-19,1.0287,1.0287,0.0,开放申购,开放赎回,
480,2023-07-18,1.0287,1.0287,0.14,开放申购,开放赎回,
481,2023-07-17,1.0273,1.0273,-0.21,开放申购,开放赎回,
482,2023-07-14,1.0295,1.0295,-0.23,开放申购,开放赎回,
483,2023-07-13,1.0319,1.0319,0.95,开放申购,开放赎回,
484,2023-07-12,1.0222,1.0222,-0.56,开放申购,开放赎回,
485,2023-07-11,1.028,1.028,0.56,开放申购,开放赎回,
486,2023-07-10,1.0223,1.0223,0.48,开放申购,开放赎回,
487,2023-07-07,1.0174,1.0174,-0.16,开放申购,开放赎回,
488,2023-07-06,1.019,1.019,-0.4,开放申购,开放赎回,
489,2023-07-05,1.0231,1.0231,-0.41,开放申购,开放赎回,
490,2023-07-04,1.0273,1.0273,0.08,开放申购,开放赎回,
491,2023-07-03,1.0265,1.0265,1.37,开放申购,开放赎回,
492,2023-06-30,1.0126,1.0126,0.8,开放申购,开放赎回,
493,2023-06-29,1.0046,1.0046,-0.16,开放申购,开放赎回,
494,2023-06-28,1.0062,1.0062,0.06,开放申购,开放赎回,
495,2023-06-27,1.0056,1.0056,1.17,开放申购,开放赎回,
496,2023-06-26,0.994,0.994,-1.15,开放申购,开放赎回,
497,2023-06-21,1.0056,1.0056,-1.1,开放申购,开放赎回,
498,2023-06-20,1.0168,1.0168,-0.45,开放申购,开放赎回,
499,2023-06-19,1.0214,1.0214,-0.56,开放申购,开放赎回,
500,2023-06-16,1.0272,1.0272,0.49,开放申购,开放赎回,
501,2023-06-15,1.0222,1.0222,1.17,开放申购,开放赎回,
502,2023-06-14,1.0104,1.0104,0.12,开放申购,开放赎回,
503,2023-06-13,1.0092,1.0092,0.06,开放申购,开放赎回,
504,2023-06-12,1.0086,1.0086,0.12,开放申购,开放赎回,
505,2023-06-09,1.0074,1.0074,0.48,开放申购,开放赎回,
506,2023-06-08,1.0026,1.0026,0.6,开放申购,开放赎回,
507,2023-06-07,0.9966,0.9966,-0.07,开放申购,开放赎回,
508,2023-06-06,0.9973,0.9973,-1.1,开放申购,开放赎回,
509,2023-06-05,1.0084,1.0084,-0.37,开放申购,开放赎回,
510,2023-06-02,1.0121,1.0121,0.75,开放申购,开放赎回,
511,2023-06-01,1.0046,1.0046,-0.08,开放申购,开放赎回,
512,2023-05-31,1.0054,1.0054,-0.68,开放申购,开放赎回,
513,2023-05-30,1.0123,1.0123,-0.02,开放申购,开放赎回,
514,2023-05-29,1.0125,1.0125,0.0,开放申购,开放赎回,
515,2023-05-26,1.0125,1.0125,0.18,开放申购,开放赎回,
516,2023-05-25,1.0107,1.0107,-0.14,开放申购,开放赎回,
517,2023-05-24,1.0121,1.0121,-1.0,开放申购,开放赎回,
518,2023-05-23,1.0223,1.0223,-1.06,开放申购,开放赎回,
519,2023-05-22,1.0333,1.0333,0.59,开放申购,开放赎回,
520,2023-05-19,1.0272,1.0272,-0.2,开放申购,开放赎回,
521,2023-05-18,1.0293,1.0293,0.21,开放申购,开放赎回,
522,2023-05-17,1.0271,1.0271,-0.19,开放申购,开放赎回,
523,2023-05-16,1.0291,1.0291,-0.37,开放申购,开放赎回,
524,2023-05-15,1.0329,1.0329,0.98,开放申购,开放赎回,
525,2023-05-12,1.0229,1.0229,-0.91,开放申购,开放赎回,
526,2023-05-11,1.0323,1.0323,-0.11,开放申购,开放赎回,
527,2023-05-10,1.0334,1.0334,-0.78,开放申购,开放赎回,
528,2023-05-09,1.0415,1.0415,-0.83,开放申购,开放赎回,
529,2023-05-08,1.0502,1.0502,1.58,开放申购,开放赎回,
530,2023-05-05,1.0339,1.0339,-0.56,开放申购,开放赎回,
531,2023-05-04,1.0397,1.0397,0.94,开放申购,开放赎回,
532,2023-04-28,1.03,1.03,0.82,开放申购,开放赎回,
533,2023-04-27,1.0216,1.0216,0.75,开放申购,开放赎回,
534,2023-04-26,1.014,1.014,0.63,开放申购,开放赎回,
535,2023-04-25,1.0077,1.0077,-0.65,开放申购,开放赎回,
536,2023-04-24,1.0143,1.0143,-1.07,开放申购,开放赎回,
537,2023-04-21,1.0253,1.0253,-1.59,开放申购,开放赎回,
538,2023-04-20,1.0419,1.0419,-0.47,开放申购,开放赎回,
539,2023-04-19,1.0468,1.0468,-0.67,开放申购,开放赎回,
540,2023-04-18,1.0539,1.0539,0.51,开放申购,开放赎回,
541,2023-04-17,1.0486,1.0486,1.12,开放申购,开放赎回,
542,2023-04-14,1.037,1.037,0.36,开放申购,开放赎回,
543,2023-04-13,1.0333,1.0333,0.07,开放申购,开放赎回,
544,2023-04-12,1.0326,1.0326,0.18,开放申购,开放赎回,
545,2023-04-11,1.0307,1.0307,-0.22,开放申购,开放赎回,
546,2023-04-10,1.033,1.033,-0.08,开放申购,开放赎回,
547,2023-04-07,1.0338,1.0338,0.22,开放申购,开放赎回,
548,2023-04-06,1.0315,1.0315,-0.02,开放申购,开放赎回,
549,2023-04-04,1.0317,1.0317,-0.1,开放申购,开放赎回,
550,2023-04-03,1.0327,1.0327,0.42,开放申购,开放赎回,
551,2023-03-31,1.0284,1.0284,0.26,开放申购,开放赎回,
552,2023-03-30,1.0257,1.0257,0.74,开放申购,开放赎回,
553,2023-03-29,1.0182,1.0182,-0.22,开放申购,开放赎回,
554,2023-03-28,1.0204,1.0204,-0.51,开放申购,开放赎回,
555,2023-03-27,1.0256,1.0256,-0.36,开放申购,开放赎回,
556,2023-03-24,1.0293,1.0293,-0.44,开放申购,开放赎回,
557,2023-03-23,1.0338,1.0338,0.26,开放申购,开放赎回,
558,2023-03-22,1.0311,1.0311,0.65,开放申购,开放赎回,
559,2023-03-21,1.0244,1.0244,0.76,开放申购,开放赎回,
560,2023-03-20,1.0167,1.0167,-0.23,开放申购,开放赎回,
561,2023-03-17,1.019,1.019,0.59,开放申购,开放赎回,
562,2023-03-16,1.013,1.013,-1.17,开放申购,开放赎回,
563,2023-03-15,1.025,1.025,0.47,开放申购,开放赎回,
564,2023-03-14,1.0202,1.0202,-0.85,开放申购,开放赎回,
565,2023-03-13,1.0289,1.0289,0.62,开放申购,开放赎回,
566,2023-03-10,1.0226,1.0226,-1.24,开放申购,开放赎回,
567,2023-03-09,1.0354,1.0354,-0.09,开放申购,开放赎回,
568,2023-03-08,1.0363,1.0363,-0.13,开放申购,开放赎回,
569,2023-03-07,1.0377,1.0377,-0.68,开放申购,开放赎回,
570,2023-03-06,1.0448,1.0448,-0.21,开放申购,开放赎回,
571,2023-03-03,1.047,1.047,0.35,开放申购,开放赎回,
572,2023-03-02,1.0434,1.0434,-0.27,开放申购,开放赎回,
573,2023-03-01,1.0462,1.0462,0.53,开放申购,开放赎回,
574,2023-02-28,1.0407,1.0407,0.35,开放申购,开放赎回,
575,2023-02-27,1.0371,1.0371,-0.33,开放申购,开放赎回,
576,2023-02-24,1.0405,1.0405,-0.69,开放申购,开放赎回,
577,2023-02-23,1.0477,1.0477,0.1,开放申购,开放赎回,
578,2023-02-22,1.0467,1.0467,-0.27,开放申购,开放赎回,
579,2023-02-21,1.0495,1.0495,0.58,开放申购,开放赎回,
580,2023-02-20,1.0434,1.0434,1.77,开放申购,开放赎回,
581,2023-02-17,1.0253,1.0253,-0.66,开放申购,开放赎回,
582,2023-02-16,1.0321,1.0321,-1.08,开放申购,开放赎回,
583,2023-02-15,1.0434,1.0434,-0.51,开放申购,开放赎回,
584,2023-02-14,1.0487,1.0487,0.4,开放申购,开放赎回,
585,2023-02-13,1.0445,1.0445,0.5,开放申购,开放赎回,
586,2023-02-10,1.0393,1.0393,-0.16,开放申购,开放赎回,
587,2023-02-09,1.041,1.041,0.92,开放申购,开放赎回,
588,2023-02-08,1.0315,1.0315,-0.5,开放申购,开放赎回,
589,2023-02-07,1.0367,1.0367,0.51,开放申购,开放赎回,
590,2023-02-06,1.0314,1.0314,-0.52,开放申购,开放赎回,
591,2023-02-03,1.0368,1.0368,-0.49,开放申购,开放赎回,
592,2023-02-02,1.0419,1.0419,0.03,开放申购,开放赎回,
593,2023-02-01,1.0416,1.0416,0.82,开放申购,开放赎回,
594,2023-01-31,1.0331,1.0331,-0.1,开放申购,开放赎回,
595,2023-01-30,1.0341,1.0341,0.37,开放申购,开放赎回,
596,2023-01-20,1.0303,1.0303,0.69,开放申购,开放赎回,
597,2023-01-19,1.0232,1.0232,0.43,开放申购,开放赎回,
598,2023-01-18,1.0188,1.0188,0.07,开放申购,开放赎回,
599,2023-01-17,1.0181,1.0181,-0.09,开放申购,开放赎回,
600,2023-01-16,1.019,1.019,0.86,开放申购,开放赎回,
601,2023-01-13,1.0103,1.0103,1.02,开放申购,开放赎回,
602,2023-01-12,1.0001,1.0001,-0.12,开放申购,开放赎回,
603,2023-01-11,1.0013,1.0013,-0.26,开放申购,开放赎回,
604,2023-01-10,1.0039,1.0039,-0.41,开放申购,开放赎回,
605,2023-01-09,1.008,1.008,0.47,开放申购,开放赎回,
606,2023-01-06,1.0033,1.0033,-0.24,开放申购,开放赎回,
607,2023-01-05,1.0057,1.0057,0.58,开放申购,开放赎回,
608,2023-01-04,0.9999,0.9999,0.46,开放申购,开放赎回,
609,2023-01-03,0.9953,0.9953,0.63,开放申购,开放赎回,
610,2022-12-31,0.989,0.989,-0.01,开放申购,开放赎回,
611,2022-12-30,0.9891,0.9891,0.64,开放申购,开放赎回,
612,2022-12-29,0.9828,0.9828,-0.49,开放申购,开放赎回,
613,2022-12-28,0.9876,0.9876,-0.32,开放申购,开放赎回,
614,2022-12-27,0.9908,0.9908,0.95,开放申购,开放赎回,
615,2022-12-26,0.9815,0.9815,0.29,开放申购,开放赎回,
616,2022-12-23,0.9787,0.9787,-0.31,开放申购,开放赎回,
617,2022-12-22,0.9817,0.9817,-0.47,开放申购,开放赎回,
618,2022-12-21,0.9863,0.9863,-0.13,开放申购,开放赎回,
619,2022-12-20,0.9876,0.9876,-0.79,开放申购,开放赎回,
620,2022-12-19,0.9955,0.9955,-1.92,开放申购,开放赎回,
621,2022-12-16,1.015,1.015,0.28,开放申购,开放赎回,
622,2022-12-15,1.0122,1.0122,-0.39,开放申购,开放赎回,
623,2022-12-14,1.0162,1.0162,0.03,开放申购,开放赎回,
624,2022-12-13,1.0159,1.0159,0.19,开放申购,开放赎回,
625,2022-12-12,1.014,1.014,-0.92,开放申购,开放赎回,
626,2022-12-09,1.0234,1.0234,-0.01,开放申购,开放赎回,
627,2022-12-08,1.0235,1.0235,-0.03,开放申购,开放赎回,
628,2022-12-07,1.0238,1.0238,-0.19,开放申购,开放赎回,
629,2022-12-06,1.0257,1.0257,0.15,开放申购,开放赎回,
630,2022-12-05,1.0242,1.0242,1.91,开放申购,开放赎回,
631,2022-12-02,1.005,1.005,-0.19,开放申购,开放赎回,
632,2022-12-01,1.0069,1.0069,0.29,开放申购,开放赎回,
633,2022-11-30,1.004,1.004,-0.18,开放申购,开放赎回,
634,2022-11-29,1.0058,1.0058,1.72,开放申购,开放赎回,
635,2022-11-28,0.9888,0.9888,-0.4,开放申购,开放赎回,
636,2022-11-25,0.9928,0.9928,0.75,开放申购,开放赎回,
637,2022-11-24,0.9854,0.9854,-0.28,开放申购,开放赎回,
638,2022-11-23,0.9882,0.9882,0.29,开放申购,开放赎回,
639,2022-11-22,0.9853,0.9853,0.41,开放申购,开放赎回,
640,2022-11-21,0.9813,0.9813,-0.34,开放申购,开放赎回,
641,2022-11-18,0.9846,0.9846,-0.48,开放申购,开放赎回,
642,2022-11-17,0.9893,0.9893,-0.21,开放申购,开放赎回,
643,2022-11-16,0.9914,0.9914,-0.16,开放申购,开放赎回,
644,2022-11-15,0.993,0.993,1.24,开放申购,开放赎回,
645,2022-11-14,0.9808,0.9808,-0.08,开放申购,开放赎回,
646,2022-11-11,0.9816,0.9816,1.64,开放申购,开放赎回,
647,2022-11-10,0.9658,0.9658,-0.04,开放申购,开放赎回,
648,2022-11-09,0.9662,0.9662,-0.27,开放申购,开放赎回,
649,2022-11-08,0.9688,0.9688,-0.38,开放申购,开放赎回,
650,2022-11-07,0.9725,0.9725,0.31,开放申购,开放赎回,
651,2022-11-04,0.9695,0.9695,1.92,开放申购,开放赎回,
652,2022-11-03,0.9512,0.9512,-0.18,开放申购,开放赎回,
653,2022-11-02,0.9529,0.9529,0.7,开放申购,开放赎回,
654,2022-11-01,0.9463,0.9463,2.16,开放申购,开放赎回,
655,2022-10-31,0.9263,0.9263,-0.48,开放申购,开放赎回,
656,2022-10-28,0.9308,0.9308,-1.97,开放申购,开放赎回,
657,2022-10-27,0.9495,0.9495,-0.41,开放申购,开放赎回,
658,2022-10-26,0.9534,0.9534,0.6,开放申购,开放赎回,
659,2022-10-25,0.9477,0.9477,-0.33,开放申购,开放赎回,
660,2022-10-24,0.9508,0.9508,-1.31,开放申购,开放赎回,
661,2022-10-21,0.9634,0.9634,0.11,开放申购,开放赎回,
662,2022-10-20,0.9623,0.9623,-0.23,开放申购,开放赎回,
663,2022-10-19,0.9645,0.9645,-0.85,开放申购,开放赎回,
664,2022-10-18,0.9728,0.9728,-0.11,开放申购,开放赎回,
665,2022-10-17,0.9739,0.9739,0.71,开放申购,开放赎回,
666,2022-10-14,0.967,0.967,1.53,开放申购,开放赎回,
667,2022-10-13,0.9524,0.9524,0.05,开放申购,开放赎回,
668,2022-10-12,0.9519,0.9519,1.6,开放申购,开放赎回,
669,2022-10-11,0.9369,0.9369,0.25,开放申购,开放赎回,
670,2022-10-10,0.9346,0.9346,-1.1,开放申购,开放赎回,
671,2022-09-30,0.945,0.945,-0.6,开放申购,开放赎回,
672,2022-09-29,0.9507,0.9507,-0.27,开放申购,开放赎回,
673,2022-09-28,0.9533,0.9533,-1.38,开放申购,开放赎回,
674,2022-09-27,0.9666,0.9666,1.15,开放申购,开放赎回,
675,2022-09-26,0.9556,0.9556,-1.54,开放申购,开放赎回,
676,2022-09-23,0.9705,0.9705,-0.5,开放申购,开放赎回,
677,2022-09-22,0.9754,0.9754,-0.2,开放申购,开放赎回,
678,2022-09-21,0.9774,0.9774,0.3,开放申购,开放赎回,
679,2022-09-20,0.9745,0.9745,0.27,开放申购,开放赎回,
680,2022-09-19,0.9719,0.9719,-0.55,开放申购,开放赎回,
681,2022-09-16,0.9773,0.9773,-1.86,开放申购,开放赎回,
682,2022-09-15,0.9958,0.9958,-1.16,开放申购,开放赎回,
683,2022-09-14,1.0075,1.0075,-0.7,开放申购,开放赎回,
684,2022-09-13,1.0146,1.0146,-0.05,开放申购,开放赎回,
685,2022-09-09,1.0151,1.0151,0.36,开放申购,开放赎回,
686,2022-09-08,1.0115,1.0115,-0.32,开放申购,开放赎回,
687,2022-09-07,1.0147,1.0147,0.08,开放申购,开放赎回,
688,2022-09-06,1.0139,1.0139,0.99,开放申购,开放赎回,
689,2022-09-05,1.004,1.004,0.51,开放申购,开放赎回,
690,2022-09-02,0.9989,0.9989,0.49,开放申购,开放赎回,
691,2022-09-01,0.994,0.994,-0.43,开放申购,开放赎回,
692,2022-08-31,0.9983,0.9983,-1.1,开放申购,开放赎回,
693,2022-08-30,1.0094,1.0094,-0.31,开放申购,开放赎回,
694,2022-08-29,1.0125,1.0125,0.21,开放申购,开放赎回,
695,2022-08-26,1.0104,1.0104,0.12,开放申购,开放赎回,
696,2022-08-25,1.0092,1.0092,0.93,开放申购,开放赎回,
697,2022-08-24,0.9999,0.9999,-1.79,开放申购,开放赎回,
698,2022-08-23,1.0181,1.0181,0.24,开放申购,开放赎回,
699,2022-08-22,1.0157,1.0157,0.63,开放申购,开放赎回,
700,2022-08-19,1.0093,1.0093,-0.28,开放申购,开放赎回,
701,2022-08-18,1.0121,1.0121,-0.55,开放申购,开放赎回,
702,2022-08-17,1.0177,1.0177,0.49,开放申购,开放赎回,
703,2022-08-16,1.0127,1.0127,0.33,开放申购,开放赎回,
704,2022-08-15,1.0094,1.0094,-0.16,开放申购,开放赎回,
705,2022-08-12,1.011,1.011,-0.13,开放申购,开放赎回,
706,2022-08-11,1.0123,1.0123,1.31,开放申购,开放赎回,
707,2022-08-10,0.9992,0.9992,-0.48,开放申购,开放赎回,
708,2022-08-09,1.004,1.004,0.07,开放申购,开放赎回,
709,2022-08-08,1.0033,1.0033,0.73,开放申购,开放赎回,
710,2022-08-05,0.996,0.996,1.3,开放申购,开放赎回,
711,2022-08-04,0.9832,0.9832,0.76,开放申购,开放赎回,
712,2022-08-03,0.9758,0.9758,-0.64,开放申购,开放赎回,
713,2022-08-02,0.9821,0.9821,-2.11,开放申购,开放赎回,
714,2022-08-01,1.0033,1.0033,0.31,开放申购,开放赎回,
715,2022-07-29,1.0002,1.0002,-0.73,开放申购,开放赎回,
716,2022-07-28,1.0076,1.0076,0.27,开放申购,开放赎回,
717,2022-07-27,1.0049,1.0049,0.04,开放申购,开放赎回,
718,2022-07-26,1.0045,1.0045,0.61,开放申购,开放赎回,
719,2022-07-25,0.9984,0.9984,-0.7,开放申购,开放赎回,
720,2022-07-22,1.0054,1.0054,-0.03,开放申购,开放赎回,
721,2022-07-21,1.0057,1.0057,-0.72,开放申购,开放赎回,
722,2022-07-20,1.013,1.013,0.65,开放申购,开放赎回,
723,2022-07-19,1.0065,1.0065,0.24,开放申购,开放赎回,
724,2022-07-18,1.0041,1.0041,1.57,开放申购,开放赎回,
725,2022-07-15,0.9886,0.9886,-1.14,开放申购,开放赎回,
726,2022-07-14,1.0,1.0,-0.07,开放申购,开放赎回,
727,2022-07-13,1.0007,1.0007,0.26,开放申购,开放赎回,
728,2022-07-12,0.9981,0.9981,-0.72,开放申购,开放赎回,
729,2022-07-11,1.0053,1.0053,-0.95,开放申购,开放赎回,
730,2022-07-08,1.0149,1.0149,-0.05,开放申购,开放赎回,
731,2022-07-07,1.0154,1.0154,0.25,开放申购,开放赎回,
732,2022-07-06,1.0129,1.0129,-1.06,开放申购,开放赎回,
733,2022-07-05,1.0238,1.0238,-0.36,开放申购,开放赎回,
734,2022-07-04,1.0275,1.0275,0.59,开放申购,开放赎回,
735,2022-07-01,1.0215,1.0215,-0.46,开放申购,开放赎回,
736,2022-06-30,1.0262,1.0262,0.8,开放申购,开放赎回,
737,2022-06-29,1.0181,1.0181,-1.31,开放申购,开放赎回,
738,2022-06-28,1.0316,1.0316,0.86,开放申购,开放赎回,
739,2022-06-27,1.0228,1.0228,0.68,开放申购,开放赎回,
740,2022-06-24,1.0159,1.0159,1.25,开放申购,开放赎回,
741,2022-06-23,1.0034,1.0034,1.71,开放申购,开放赎回,
742,2022-06-22,0.9865,0.9865,-1.13,开放申购,开放赎回,
743,2022-06-21,0.9978,0.9978,-0.12,开放申购,开放赎回,
744,2022-06-20,0.999,0.999,0.58,开放申购,开放赎回,
745,2022-06-17,0.9932,0.9932,0.65,开放申购,开放赎回,
746,2022-06-16,0.9868,0.9868,-0.21,开放申购,开放赎回,
747,2022-06-15,0.9889,0.9889,0.59,开放申购,开放赎回,
748,2022-06-14,0.9831,0.9831,0.91,开放申购,开放赎回,
749,2022-06-13,0.9742,0.9742,-0.66,开放申购,开放赎回,
750,2022-06-10,0.9807,0.9807,1.42,开放申购,开放赎回,
751,2022-06-09,0.967,0.967,-1.02,开放申购,开放赎回,
752,2022-06-08,0.977,0.977,0.08,开放申购,开放赎回,
753,2022-06-07,0.9762,0.9762,0.18,开放申购,开放赎回,
754,2022-06-06,0.9744,0.9744,0.92,开放申购,开放赎回,
755,2022-06-02,0.9655,0.9655,0.48,开放申购,开放赎回,
756,2022-06-01,0.9609,0.9609,0.26,开放申购,开放赎回,
757,2022-05-31,0.9584,0.9584,1.27,开放申购,开放赎回,
758,2022-05-30,0.9464,0.9464,0.45,开放申购,开放赎回,
759,2022-05-27,0.9422,0.9422,0.12,开放申购,开放赎回,
760,2022-05-26,0.9411,0.9411,0.7,开放申购,开放赎回,
761,2022-05-25,0.9346,0.9346,1.42,开放申购,开放赎回,
762,2022-05-24,0.9215,0.9215,-2.3,开放申购,开放赎回,
763,2022-05-23,0.9432,0.9432,0.17,开放申购,开放赎回,
764,2022-05-20,0.9416,0.9416,1.3,开放申购,开放赎回,
765,2022-05-19,0.9295,0.9295,0.23,开放申购,开放赎回,
766,2022-05-18,0.9274,0.9274,-0.24,开放申购,开放赎回,
767,2022-05-17,0.9296,0.9296,0.24,开放申购,开放赎回,
768,2022-05-16,0.9274,0.9274,-0.11,开放申购,开放赎回,
769,2022-05-13,0.9284,0.9284,0.73,开放申购,开放赎回,
770,2022-05-12,0.9217,0.9217,0.18,开放申购,开放赎回,
771,2022-05-11,0.92,0.92,0.47,开放申购,开放赎回,
772,2022-05-10,0.9157,0.9157,0.69,开放申购,开放赎回,
773,2022-05-09,0.9094,0.9094,0.21,开放申购,开放赎回,
774,2022-05-06,0.9075,0.9075,-1.52,开放申购,开放赎回,
775,2022-05-05,0.9215,0.9215,0.59,开放申购,开放赎回,
776,2022-04-29,0.9161,0.9161,2.3,开放申购,开放赎回,
777,2022-04-28,0.8955,0.8955,0.09,开放申购,开放赎回,
778,2022-04-27,0.8947,0.8947,1.83,开放申购,开放赎回,
779,2022-04-26,0.8786,0.8786,-2.07,开放申购,开放赎回,
780,2022-04-25,0.8972,0.8972,-4.5,开放申购,开放赎回,
781,2022-04-22,0.9395,0.9395,0.4,开放申购,开放赎回,
782,2022-04-21,0.9358,0.9358,-1.93,开放申购,开放赎回,
783,2022-04-20,0.9542,0.9542,-1.13,开放申购,开放赎回,
784,2022-04-19,0.9651,0.9651,0.48,开放申购,开放赎回,
785,2022-04-18,0.9605,0.9605,-0.32,开放申购,开放赎回,
786,2022-04-15,0.9636,0.9636,-0.38,开放申购,开放赎回,
787,2022-04-14,0.9673,0.9673,1.12,开放申购,开放赎回,
788,2022-04-13,0.9566,0.9566,-0.83,开放申购,开放赎回,
789,2022-04-12,0.9646,0.9646,1.25,开放申购,开放赎回,
